scenario,seed,policy,window,profile,count,passed,percent
semi,43,baseline,long_2_6s,64:4096,18,18,100.0
semi,43,baseline,long_2_6s,80:1024,9,9,100.0
semi,43,baseline,long_2_6s,80:2048,13,13,100.0
semi,43,baseline,long_2_6s,80:256,7,2,28.571428571428573
semi,43,baseline,long_2_6s,80:4096,17,17,100.0
semi,43,baseline,full_population,128:1024,32,32,100.0
semi,43,baseline,full_population,128:2048,32,32,100.0
semi,43,baseline,full_population,128:256,32,21,65.625
semi,43,baseline,full_population,128:4096,64,64,100.0
semi,43,baseline,full_population,160:1024,32,32,100.0
semi,43,baseline,full_population,160:2048,32,32,100.0
semi,43,baseline,full_population,160:256,32,24,75.0
semi,43,baseline,full_population,160:4096,64,64,100.0
semi,43,baseline,full_population,200:1024,32,32,100.0
semi,43,baseline,full_population,200:2048,32,32,100.0
semi,43,baseline,full_population,200:256,32,29,90.625
semi,43,baseline,full_population,200:4096,64,64,100.0
semi,43,baseline,full_population,32:1024,32,30,93.75
semi,43,baseline,full_population,32:2048,32,30,93.75
semi,43,baseline,full_population,32:256,32,16,50.0
semi,43,baseline,full_population,32:4096,64,64,100.0
semi,43,baseline,full_population,64:1024,32,31,96.875
semi,43,baseline,full_population,64:2048,32,32,100.0
semi,43,baseline,full_population,64:256,32,15,46.875
semi,43,baseline,full_population,64:4096,64,64,100.0
semi,43,baseline,full_population,80:1024,32,29,90.625
semi,43,baseline,full_population,80:2048,32,32,100.0
semi,43,baseline,full_population,80:256,32,18,56.25
semi,43,baseline,full_population,80:4096,64,64,100.0
semi,43,mild,warm_2_4s,128:1024,1,1,100.0
semi,43,mild,warm_2_4s,128:2048,5,5,100.0
semi,43,mild,warm_2_4s,128:256,4,3,75.0
semi,43,mild,warm_2_4s,128:4096,18,18,100.0
semi,43,mild,warm_2_4s,160:1024,5,5,100.0
semi,43,mild,warm_2_4s,160:2048,8,8,100.0
semi,43,mild,warm_2_4s,160:256,6,5,83.33333333333333
semi,43,mild,warm_2_4s,160:4096,18,18,100.0
semi,43,mild,warm_2_4s,200:1024,5,5,100.0
semi,43,mild,warm_2_4s,200:2048,8,8,100.0
semi,43,mild,warm_2_4s,200:256,5,3,60.0
semi,43,mild,warm_2_4s,200:4096,6,6,100.0
semi,43,mild,warm_2_4s,32:1024,4,4,100.0
semi,43,mild,warm_2_4s,32:2048,2,2,100.0
semi,43,mild,warm_2_4s,32:256,2,2,100.0
semi,43,mild,warm_2_4s,32:4096,12,12,100.0
semi,43,mild,warm_2_4s,64:1024,7,7,100.0
semi,43,mild,warm_2_4s,64:2048,4,4,100.0
semi,43,mild,warm_2_4s,64:256,3,3,100.0
semi,43,mild,warm_2_4s,64:4096,9,9,100.0
semi,43,mild,warm_2_4s,80:1024,6,6,100.0
semi,43,mild,warm_2_4s,80:2048,7,7,100.0
semi,43,mild,warm_2_4s,80:256,3,3,100.0
semi,43,mild,warm_2_4s,80:4096,10,10,100.0
semi,43,mild,long_2_6s,128:1024,7,7,100.0
semi,43,mild,long_2_6s,128:2048,15,15,100.0
semi,43,mild,long_2_6s,128:256,10,9,90.0
semi,43,mild,long_2_6s,128:4096,22,22,100.0
semi,43,mild,long_2_6s,160:1024,8,8,100.0
semi,43,mild,long_2_6s,160:2048,15,15,100.0
semi,43,mild,long_2_6s,160:256,10,9,90.0
semi,43,mild,long_2_6s,160:4096,37,37,100.0
semi,43,mild,long_2_6s,200:1024,10,10,100.0
semi,43,mild,long_2_6s,200:2048,15,15,100.0
semi,43,mild,long_2_6s,200:256,12,10,83.33333333333333
semi,43,mild,long_2_6s,200:4096,14,14,100.0
semi,43,mild,long_2_6s,32:1024,10,10,100.0
semi,43,mild,long_2_6s,32:2048,8,8,100.0
semi,43,mild,long_2_6s,32:256,9,9,100.0
semi,43,mild,long_2_6s,32:4096,26,26,100.0
semi,43,mild,long_2_6s,64:1024,15,15,100.0
semi,43,mild,long_2_6s,64:2048,9,9,100.0
semi,43,mild,long_2_6s,64:256,11,11,100.0
semi,43,mild,long_2_6s,64:4096,19,19,100.0
semi,43,mild,long_2_6s,80:1024,9,9,100.0
semi,43,mild,long_2_6s,80:2048,13,13,100.0
semi,43,mild,long_2_6s,80:256,7,7,100.0
semi,43,mild,long_2_6s,80:4096,21,21,100.0
semi,43,mild,full_population,128:1024,32,29,90.625
semi,43,mild,full_population,128:2048,32,32,100.0
semi,43,mild,full_population,128:256,32,25,78.125
semi,43,mild,full_population,128:4096,64,64,100.0
semi,43,mild,full_population,160:1024,32,29,90.625
semi,43,mild,full_population,160:2048,32,32,100.0
semi,43,mild,full_population,160:256,32,30,93.75
semi,43,mild,full_population,160:4096,64,64,100.0
semi,43,mild,full_population,200:1024,32,32,100.0
semi,43,mild,full_population,200:2048,32,32,100.0
semi,43,mild,full_population,200:256,32,29,90.625
semi,43,mild,full_population,200:4096,64,64,100.0
semi,43,mild,full_population,32:1024,32,31,96.875
semi,43,mild,full_population,32:2048,32,31,96.875
semi,43,mild,full_population,32:256,32,31,96.875
semi,43,mild,full_population,32:4096,64,64,100.0
semi,43,mild,full_population,64:1024,32,31,96.875
semi,43,mild,full_population,64:2048,32,32,100.0
semi,43,mild,full_population,64:256,32,32,100.0
semi,43,mild,full_population,64:4096,64,64,100.0
semi,43,mild,full_population,80:1024,32,29,90.625
